KOname	ko
ADAM11; disintegrin and metalloproteinase domain-containing protein 11	K16067
ADAM12; disintegrin and metalloproteinase domain-containing protein 12	K06835
ADAM15; disintegrin and metalloproteinase domain-containing protein 15	K06836
ADAM17, TACE, CD156b; disintegrin and metalloproteinase domain-containing protein 17	K06059
ADAM18; disintegrin and metalloproteinase domain-containing protein 18	K16909
ADAM19; disintegrin and metalloproteinase domain-containing protein 19	K08608
ADAM1; disintegrin and metalloproteinase domain-containing protein 1	K08607
ADAM20; disintegrin and metalloproteinase domain-containing protein 20	K08609
ADAM21; disintegrin and metalloproteinase domain-containing protein 21	K08610
ADAM22; disintegrin and metalloproteinase domain-containing protein 22	K16068
ADAM23; disintegrin and metalloproteinase domain-containing protein 23	K06837
ADAM24; disintegrin and metalloproteinase domain-containing protein 24	K08611
ADAM25; disintegrin and metalloproteinase domain-containing protein 25	K08612
ADAM26; disintegrin and metalloproteinase domain-containing protein 26	K08613
ADAM28; disintegrin and metalloproteinase domain-containing protein 28	K08614
ADAM29; disintegrin and metalloproteinase domain-containing protein 29	K16069
ADAM2; disintegrin and metalloproteinase domain-containing protein 2	K06833
ADAM30; disintegrin and metalloproteinase domain-containing protein 30	K08615
ADAM32; disintegrin and metalloproteinase domain-containing protein 32	K16070
ADAM33; disintegrin and metalloproteinase domain-containing protein 33	K08616
ADAM7; disintegrin and metalloproteinase domain-containing protein 7	K16071
ADAM8, CD156a; disintegrin and metalloproteinase domain-containing protein 8	K06540
ADAM9; disintegrin and metalloproteinase domain-containing protein 9	K06834
ADAMDEC1; ADAM-like, decysin 1	K08634
ADAMTS10; a disintegrin and metalloproteinase with thrombospondin motifs 10	K08625
ADAMTS12; a disintegrin and metalloproteinase with thrombospondin motifs 12	K08626
ADAMTS13; a disintegrin and metalloproteinase with thrombospondin motifs 13	K08627
ADAMTS14; a disintegrin and metalloproteinase with thrombospondin motifs 14	K08628
ADAMTS15; a disintegrin and metalloproteinase with thrombospondin motifs 15	K08629
ADAMTS16; a disintegrin and metalloproteinase with thrombospondin motifs 16	K08630
ADAMTS17; a disintegrin and metalloproteinase with thrombospondin motifs 17	K08631
ADAMTS18; a disintegrin and metalloproteinase with thrombospondin motifs 18	K08632
ADAMTS19; a disintegrin and metalloproteinase with thrombospondin motifs 19	K08633
ADAMTS1; a disintegrin and metalloproteinase with thrombospondin motifs 1	K08617
ADAMTS20; a disintegrin and metalloproteinase with thrombospondin motifs 20	K09609
ADAMTS2; a disintegrin and metalloproteinase with thrombospondin motifs 2	K08618
ADAMTS3; a disintegrin and metalloproteinase with thrombospondin motifs 3	K08619
ADAMTS4; a disintegrin and metalloproteinase with thrombospondin motifs 4	K07764
ADAMTS5; a disintegrin and metalloproteinase with thrombospondin motifs 5	K08620
ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6	K08621
ADAMTS7; a disintegrin and metalloproteinase with thrombospondin motifs 7	K08622
ADAMTS8; a disintegrin and metalloproteinase with thrombospondin motifs 8	K08623
ADAMTS9; a disintegrin and metalloproteinase with thrombospondin motifs 9	K08624
ADAMTSL1_3; ADAMTS-like protein 1/3	K24429
ADAMTSL2; ADAMTS-like protein 2	K24430
ADAMTSL4; ADAMTS-like protein 4	K23369
ADAMTSL5; ADAMTS-like protein 5	K24432
ADAP, CENTA; Arf-GAP with dual PH domain-containing protein	K23781
ADAR, ADAR1; double-stranded RNA-specific adenosine deaminase	K12968
ADARB; double stranded RNA-specific editase B	K13194
adc; acetoacetate decarboxylase	K01574
ADCK, ABC1; aarF domain-containing kinase	K08869
ADCL; 4-amino-4-deoxychorismate lyase	K18482
ADCY10; adenylate cyclase 10	K11265
ADCY1; adenylate cyclase 1	K08041
ADCY2; adenylate cyclase 2	K08042
ADCY3; adenylate cyclase 3	K08043
ADCY4; adenylate cyclase 4	K08044
ADCY5; adenylate cyclase 5	K08045
ADCY6; adenylate cyclase 6	K08046
ADCY7; adenylate cyclase 7	K08047
ADCY8; adenylate cyclase 8	K08048
ADCY9; adenylate cyclase 9	K08049
ADCYAP1R1, PACAPRI; pituitary adenylate cyclase-activating polypeptide type I receptor	K04587
ADCYAP; pituitary adenylate cyclase-activating polypeptide	K05262
ADD66, PBA2, POC2; proteasome chaperone 2	K11880
addA; ATP-dependent helicase/nuclease subunit A	K16898
add, ADA; adenosine deaminase	K01488
ADD; adducin	K18622
add; aminodeoxyfutalosine deaminase	K18286
addB; ATP-dependent helicase/nuclease subunit B	K16899
ADE2; phosphoribosylaminoimidazole carboxylase	K11808
ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase	K11788
ade; adenine deaminase	K01486
ade; adenine deaminase	K21053
adeA; membrane fusion protein, multidrug efflux system	K18145
adeB; multidrug efflux pump	K18146
adeC; outer membrane protein, multidrug efflux system	K18147
adeN; TetR/AcrR family transcriptional regulator, repressor of the adeIJK operon	K18137
adeR; two-component system, OmpR family, response regulator AdeR	K18144
adeS; two-component system, OmpR family, sensor histidine kinase AdeS	K18143
ADF1; Adh transcription factor 1	K09427
adf; secondary-alcohol dehydrogenase (coenzyme-F420)	K21835
ADGRA1, GPR123; adhesion G protein-coupled receptor A1	K08460
ADGRA2, GPR124; adhesion G protein-coupled receptor A2	K08461
ADGRA3, GPR125; adhesion G protein-coupled receptor A3	K08462
ADGRB1, BAI1; adhesion G protein-coupled receptor B1	K04596
ADGRB2, BAI2; adhesion G protein-coupled receptor B2	K04597
ADGRB3, BAI3; adhesion G protein-coupled receptor B3	K04598
ADGRD1, GPR133; adhesion G-protein coupled receptor D1	K08465
ADGRD2, GPR144; adhesion G-protein coupled receptor D2	K08466
ADGRE1, EMR1; adhesion G protein-coupled receptor E1	K04591
ADGRE2, EMR2, CD312; adhesion G protein-coupled receptor E2	K08443
ADGRE3, EMR3; adhesion G protein-coupled receptor E3	K08444
ADGRE4, EMR4; adhesion G protein-coupled receptor E4	K08445
ADGRE5, CD97; CD97 antigen	K08446
ADGRF1, GPR110; adhesion G-protein coupled receptor F1	K08453
ADGRF2, GPR111; adhesion G-protein coupled receptor F2	K08454
ADGRF3, GPR113; adhesion G-protein coupled receptor F3	K08456
ADGRF4, GPR115; adhesion G-protein coupled receptor F4	K08457
ADGRF5, GPR116; adhesion G-protein coupled receptor F5	K08458
ADGRG1, GPR56; adhesion G-protein coupled receptor G1	K08450
ADGRG2, GPR64; adhesion G-protein coupled receptor G2	K08451
ADGRG3, GPR97; adhesion G-protein coupled receptor G3	K08452
ADGRG4, GPR112; adhesion G-protein coupled receptor G4	K08455
ADGRG5, GPR114; adhesion G-protein coupled receptor G5	K08459
ADGRG6, GPR126; adhesion G-protein coupled receptor G6	K08463
ADGRG7, GPR128; adhesion G-protein coupled receptor G7	K08464
ADGRL1, LPHN1; adhesion G protein-coupled receptor L1	K04592
ADGRL2, LPHN2; adhesion G protein-coupled receptor L2	K04593
ADGRL3, LPHN3; adhesion G protein-coupled receptor L3	K04594
ADGRL4, ELTD1; adhesion G protein-coupled receptor L4	K04595
ADGRV1, GPR98, USH2C; adhesion G-protein coupled receptor V1	K18263
ADH112; adhesin	K13969
ADH1_7; alcohol dehydrogenase 1/7	K13951
ADH1; alcohol dehydrogenase class-P	K18857
adh1; alcohol dehydrogenase	K19954
adh1; NAD+-dependent secondary alcohol dehydrogenase Adh1	K18382
adh2; alcohol dehydrogenase	K18369
adh2; alcohol dehydrogenase	K19955
adh3; alcohol dehydrogenase	K18370
ADH4; alcohol dehydrogenase 4	K13980
ADH6; alcohol dehydrogenase 6	K13952
ADHA; 5'-hydroxyaverantin dehydrogenase	K17652
adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit	K22473
adhB; alcohol dehydrogenase (quinone), cytochrome c subunit	K22474
adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	K04072
ADHFE1; hydroxyacid-oxoacid transhydrogenase	K11173
adh; isopropanol dehydrogenase (NADP+)	K23259
adhP; alcohol dehydrogenase, propanol-preferring	K13953
adhR; MerR family transcriptional regulator, aldehyde-responsive regulator	K21745
adhS; alcohol dehydrogenase (quinone) subunit AdhS	K22475
ADI1; aconitate Delta-isomerase	K22002
adiA; arginine decarboxylase	K01584
adiC; arginine:agmatine antiporter	K03759
ADIG; adipogenin	K21409
ADIPOQ, ACDC; adiponectin	K07296
ADIPOR; adiponectin receptor	K07297
ADIRF; adipogenesis regulatory factor	K21408
adiY; AraC family transcriptional regulator, transcriptional activator of adiA	K03755
adk, AK; adenylate kinase	K00939
ADM; adrenomedullin	K12333
ADMR; adrenomedullin receptor	K04242
ADN1; adhesion defective protein 1	K21389
ADN2; adhesion defective protein 2	K21390
ADN3; adhesion defective protein 3	K21391
ADNP2; activity-dependent neuroprotector homeobox protein 2	K24878
ADNP; activity-dependent neuroprotector homeobox protein	K22591
ADO; cysteamine dioxygenase	K10712
ADORA1; adenosine receptor A1	K04265
ADORA2A, ADOR; adenosine receptor A2a	K04266
ADORA2B; adenosine receptor A2b	K04267
ADORA3; adenosine receptor A3	K04268
ADPGK; ADP-dependent glucokinase	K08074
ADPRH; ADP-ribosylarginine hydrolase	K01245
ADPRHL2; poly(ADP-ribose) glycohydrolase ARH3	K11687
ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	K01517
ADR1; zinc finger protein ADR1	K09466
ADRA1A; adrenergic receptor alpha-1A	K04135
ADRA1B; adrenergic receptor alpha-1B	K04136
ADRA1D; adrenergic receptor alpha-1D	K04137
ADRA2A; adrenergic receptor alpha-2A	K04138
ADRA2B; adrenergic receptor alpha-2B	K04139
ADRA2C; adrenergic receptor alpha-2C	K04140
adrA; diguanylate cyclase	K18968
ADRB1; adrenergic receptor beta-1	K04141
ADRB2; adrenergic receptor beta-2	K04142
ADRB3; adrenergic receptor beta-3	K04143
adrB; c-di-GMP phosphodiesterase	K21090
ADRBK, GRK; beta-adrenergic-receptor kinase	K00910
ADS2; very-long-chain acyl-lipid omega-9 desaturase	K23119
ADT, PDT; arogenate/prephenate dehydratase	K05359
AEBP1; adipocyte enhancer-binding protein 1	K21392
AEBP2; zinc finger protein AEBP2	K17452
aefR; TetR/AcrR family transcriptional regulator, regulator of autoinduction and epiphytic fitness	K19736
AEN, ISG20L1; apoptosis-enhancing nuclease	K18340
AEP1; ATPase expression protein 1, mitochondrial	K17671
AEP2; ATPase expression protein 2, mitochondrial	K17672
AEP3; ATPase expression protein 3, mitochondrial	K18155
aepZ; 2-aminoethylphosphonate-pyruvate transaminase	K09469
Aequorin; calcium-regulated photoprotein	K22619
aer; aerotaxis receptor	K03776
aes; acetyl esterase	K01066
AES, TLE5; TLE family member 5 (amino-terminal enhancer of split)	K24724
AF370; fumagillin biosynthesis polyketide synthase	K22573
AF380; fumagillin biosynthesis transferase	K22574
AF390; fumagillin biosynthesis methyltransferase	K22571
AF470; fumagillin biosynthesis monooxygenase	K22575
AF480; fumagillin biosynthesis dioxygenase	K22570
AF490; fumagillin biosynthesis stereoselective ketoreductase	K22572
AF510; fumagillin biosynthesis cytochrome P450 monooxygenase	K21295
AF520; beta-trans-bergamotene synthase	K22569
AF6, MLLT4; afadin	K05702
AFAP1; actin filament associated protein 1	K18616
AFAP1L; actin filament associated protein 1-like	K23782
AFF1; AF4/FMR2 family member 1	K15184
AFF-1; cell fusion protein aff-1	K24618
AFF2; AF4/FMR2 family member 2	K15194
AFF3; AF4/FMR2 family member 3	K15195
AFF4; AF4/FMR2 family member 4	K15185
AFG1, LACE1; peroxisome-assembly ATPase	K18798
AFG2, DRG1, SPATA5; AAA family ATPase	K14575
AFG3; AFG3 family protein	K08956
AFLD, NOR-1; norsolorinic acid ketoreductase	K17644
AFLM; NADPH-dependent reductase	K24856
AFLN, STCS, CYP59A1; sterigmatocystin biosynthesis cytochrome P450 monooxygenase	K24438
AFLX; oxidoreductase AflX	K24857
AFLY; oxidoreductase AflY	K24858
AFMID; arylformamidase	K01432
AFP; alpha-fetoprotein	K16144
afr; 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	K19181
AFS1; alpha-farnesene synthase	K14173
afsA; 2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase	K22463
aftA; galactan 5-O-arabinofuranosyltransferase	K13686
aftB; arabinofuranosyltransferase	K13687
aftC; arabinofuranan 3-O-arabinosyltransferase	K16647
aftD; arabinofuranan 3-O-arabinosyltransferase	K16648
afuA, fbpA; iron(III) transport system substrate-binding protein	K02012
afuB, fbpB; iron(III) transport system permease protein	K02011
afuC, fbpC; iron(III) transport system ATP-binding protein	K02010
AFVE; aflavarin biosynthesis cytochrome P450 monooxygenase	K21448
AG22; abietadiene/neoabietadiene/copalyl diphosphate synthase	K12927
AG3; (-)-alpha/(-)-beta-pinene synthase	K07384
AG4; (+)-delta-selinene synthase	K15806
AG5; gamma-humulene synthase	K14186
AG6; (-)-camphene synthase	K22208
AG8; (4S)-beta-phellandrene synthase (geranyl-diphosphate-cyclizing)	K22053
AG9; terpinolene synthase	K21930
agaA; alpha-agarase	K20851
agaA; N-acetylgalactosamine-6-phosphate deacetylase	K02079
agaA; Nalpha-acyl-L-glutamine aminoacylase	K23726
AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase	K01444
agaB; galactosamine PTS system EIIB component	K10984
agaC; galactosamine PTS system EIIC component	K10985
agaD; galactosamine PTS system EIID component	K10986
agaE; N-acetylgalactosamine PTS system EIID component	K02747
agaF; N-acetylgalactosamine PTS system EIIA component	K02744
agaI; galactosamine-6-phosphate isomerase	K02080
AGAP2; Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	K17848
AGAP; Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3/4/5/6/9/11	K12491
agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor	K02081
agaS; tagatose-6-phosphate ketose/aldose isomerase	K02082
agaV; N-acetylgalactosamine PTS system EIIB component	K02745
agaW; N-acetylgalactosamine PTS system EIIC component	K02746
AGBL1, CCP4; cytosolic carboxypeptidase protein 4	K23436
AGBL2_3, CCP2_3; cytosolic carboxypeptidase protein 2/3	K23437
AGBL4, CCP6; cytosolic carboxypeptidase protein 6	K23439
AGBL5, CCP5; cytosolic carboxypeptidase protein 5	K23438
AGC1, CSPG1; aggrecan 1	K06792
agd31B; oligosaccharide 4-alpha-D-glucosyltransferase	K18820
AGER, RAGE; receptor for advanced glycosylation end products	K19722
AGFG1; Arf-GAP domain and FG repeats-containing protein 1	K15044
AGK; acylglycerol kinase	K09881
aglB; dolichyl-phosphooligosaccharide-protein glycotransferase	K21306
aglC; dolichyl N-acetyl-alpha-D-glucosaminyl phosphate 3-beta-D-2,3-diacetamido-2,3-dideoxy-beta-D-glucuronosyltransferase	K21305
aglD; glycosyltransferase AglD	K23683
aglE, ggtB; alpha-glucoside transport system substrate-binding protein	K10232
aglE; glycosyltransferase AglE	K23686
aglF, ggtC; alpha-glucoside transport system permease protein	K10233
aglG, ggtD; alpha-glucoside transport system permease protein	K10234
aglG; glucosyl-dolichyl phosphate glucuronosyltransferase	K22844
AGL; glycogen debranching enzyme	K01196
aglI; glycosyltransferase AglI	K23685
aglJ; dolichol-phosphate hexosyltransferase	K23684
aglK; alpha-glucoside transport system ATP-binding protein	K10235
aglK; UDP-N-acetylglucosamine---dolichyl-phosphate N-acetylglucosaminyltransferase	K21304
aglS; dolichol phosphate-mannose mannosyltransferase	K23252
AGMO; alkylglycerol monooxygenase	K15537
agpA; alpha-galactoside transport system substrate-binding protein	K25096
AGPAT1_2; lysophosphatidate acyltransferase	K13509
AGPAT3_4; lysophosphatidic acid acyltransferase / lysophosphatidylinositol acyltransferase	K13523
AGPAT5; lysophosphatidiate acyltransferase	K19007
agpB; alpha-galactoside transport system permease protein	K25097
agpC; alpha-galactoside transport system permease protein	K25098
agpD; alpha-galactoside transport system ATP-binding protein	K25099
agp; glucose-1-phosphatase	K01085
AGPHD1; hydroxylysine kinase	K18201
AGPS, agpS; alkyldihydroxyacetonephosphate synthase	K00803
AGR2; anterior gradient protein 2	K20356
AGR3; anterior gradient protein 3	K20357
agrA2; two-component system, LytTR family, response regulator AgrA2	K20340
agrA, blpR, fsrA; two-component system, LytTR family, response regulator AgrA	K07707
agrB; accessory gene regulator B	K07813
agrC2; two-component system, LytTR family, sensor histidine kinase AgrC2	K20339
agrC, blpH, fsrC; two-component system, LytTR family, sensor histidine kinase AgrC	K07706
agrD; AgrD protein	K07800
AGRN; agrin	K06254
AGRP; agouti related protein	K05231
agt; DNA alpha-glucosyltransferase	K21521
AGTPBP1, CCP1; cytosolic carboxypeptidase protein 1	K23435
AGTR1; angiotensin II receptor type 1	K04166
AGTR2; angiotensin II receptor type 2	K04167
AGT, SERPINA8; angiotensinogen	K09821
aguA; agmatine deiminase	K10536
aguA; alpha-glucuronidase	K01235
aguB; N-carbamoylputrescine amidase	K12251
aguE; alpha-1,4-digalacturonate transport system substrate-binding protein	K17241
aguF; alpha-1,4-digalacturonate transport system permease protein	K17242
aguG; alpha-1,4-digalacturonate transport system permease protein	K17243
AGXT2; alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase	K00827
AGXT2L1, ETNPPL; ethanolamine-phosphate phospho-lyase	K14286
AGXT2L2; 5-phosphonooxy-L-lysine phospho-lyase	K18202
AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase	K00830
AH; amygdalin beta-glucosidase	K13031
ahbAB; siroheme decarboxylase	K22225
ahbC; Fe-coproporphyrin III synthase	K22226
ahbD; AdoMet-dependent heme synthase	K22227
AHC1; ADA HAT complex component 1	K11370
AHC2; ADA HAT complex component 2	K11371
AHDC1; AT-hook DNA-binding motif-containing protein 1	K22592
ahgd; 3,6-anhydro-alpha-L-galactose dehydrogenase	K20548
AHI1; jouberin	K16740
AHK2_3_4; arabidopsis histidine kinase 2/3/4 (cytokinin receptor)	K14489
ahlD, aiiA, attM, blcC; N-acyl homoserine lactone hydrolase	K13075
AHNAK; neuroblast differentiation-associated protein AHNAK	K23934
AHP1; alkyl hydroperoxide reductase 1	K14171
ahpC; lipoyl-dependent peroxiredoxin subunit C	K24126
ahpC; NADH-dependent peroxiredoxin subunit C	K24119
ahpD; lipoyl-dependent peroxiredoxin subunit D	K04756
ahpE; mycoredoxin-dependent peroxiredoxin	K24120
ahpF; NADH-dependent peroxiredoxin subunit F	K03387
AHP; histidine-containing phosphotransfer peotein	K14490
AHR1; adhesion and hyphal regulator 1	K21388
ahr; alcohol/geraniol dehydrogenase (NADP+)	K12957
AHR; aryl hydrocarbon receptor	K09093
AHRR, AHH; aryl hydrocarbon receptor repressor	K09094
AHSG, FETUA; alpha-2-HS-glycoprotein	K23409
ahy; acetylene hydratase	K20625
AICDA, AID; activation-induced cytidine deaminase	K10989
